word, phonetic
Aarhus, aʁys
Aaron, aʁɔ̃n
Aarschot, aʁsʃɔt
Abbeville, abvil
Abd, abd
Abdelkader, abdɛlkadɛʁ
Abel, abɛl
Abidjan, abidʒɑ̃
Abitibi-Témiscamingue, abitibitemiskamɛ̃ɡ
Abkhazie, abkazi
Abraham, abʁaam
Abu, abu
Abuja, abuʒa
Abymes, abim
Abyssinie, abisini
Acadie, akadi
Acapulco, akapulko
Accra, akʁa
Achaïe, akai
Achgabat, aʃɡabat
Achille, aʃil
Achéron, akeʁɔ̃
Aconcagua, akɔnkaɡwa
Adam, adɑ̃
Adamov, adamɔv
Adams, adams
Adana, adana
Addis-Abeba, adisabeba
Adelbert, adɛlbɛʁ
Adeline, adlin
Adenauer, adnawœʁ
Adige, adiʒ
Adolphe, adɔlf
Adonaï, adɔnai
Adonis, adɔnis
Adour, aduʁ
Adriatique, adʁijatik
Adrien, adʁijɛ̃
Adrienne, adʁijɛn
Adèle, adɛl
Adélaïde, adelaid
Afghanistan, afɡanistɑ̃
Afrique, afʁik
Agamemnon, aɡamɛmnɔ̃
Agatha, aɡata
Agathe, aɡat
Agde, aɡd
Agen, aʒɛ̃
Aggée, aʒe
Aglaé, aɡlae
Agnès, aɲɛs
Agrippine, aɡʁipin
Ah, a
Ahmed, amɛd
Ahmedabad, amɛdabad
Aigoual, eɡwal
Aimé, eme
Aimée, eme
Ain, ɛ̃
Airbus, ɛʁbys
Aires, ɛʁ
Aisne, ɛn
Aix, ɛks
Aix-en-Provence, ɛksɑ̃pʁɔvɑ̃s
Aix-la-Chapelle, ɛkslaʃapɛl
Aix-les-Bains, ɛkslebɛ̃
Ajaccio, aʒaksjo
Akhenaton, akenatɔ̃
Al-Qaïda, alkaida
Alabama, alabama
Alain, alɛ̃
Alan, alan
Alaska, alaska
Alban, albɑ̃
Albanie, albani
Albert, albɛʁ
Alberta, albɛʁta
Alberte, albɛʁt
Albertine, albɛʁtin
Albi, albi
Albin, albɛ̃
Albion, albjɔ̃
Albret, albʁɛ
Albuquerque, albykɛʁk
Alcibiade, alsibjad
Alegre, alɛɡʁe
Alençon, alɑ̃sɔ̃
Alep, alɛp
Alessandro, alesɑ̃dʁo
Alex, alɛks
Alexander, alɛksɑ̃dœʁ
Alexandre, alɛksɑ̃dʁ
Alexandrie, alɛksɑ̃dʁi
Alexia, alɛksja
Alexis, alɛksi
Alfortville, alfɔʁvil
Alfred, alfʁɛd
Algarve, alɡaʁv
Alger, alʒe
Algérie, alʒeʁi
Ali, ali
Alice, alis
Alicia, alisja
Alida, alida
Aline, alin
Alison, alisɔn
Alix, aliks
Alken, alkən
Allah, ala
Allan, alan
Allemagne, almaɲ
Alleur, alœʁ
Allier, alje
Alma, alma
Almaty, almati
Alost, alɔst
Alpes, alp
Alpes-Maritimes, alpmaʁitim
Alpes-de-Haute-Provence, alpdəotpʁɔvɑ̃s
Alphonse, alfɔ̃s
Alsace, alzas
Alstom, alstɔm
Altaï, altaj
Althusser, altysɛʁ
Alyssa, alisa
Alzheimer, alzajmɛʁ,alzajmœʁ
Alès, alɛs
Alésia, alezja
Amadeus, amadeus
Amalthée, amalte
Amand, amɑ̃
Amanda, amɑ̃da
Amandine, amɑ̃din
Amaury, amoʁi
Amazone, amazɔn
Amazonie, amazɔni
Amblève, ɑ̃blɛv
Ambre, ɑ̃bʁ
Ambroise, ɑ̃bʁwaz
Amiens, amjɛ̃
Amman, aman
Amos, amos
Amphitrite, ɑ̃fitʁit
Ampère, ɑ̃pɛʁ
Amsterdam, amstɛʁdam
Amédée, amede
Amélie, ameli
Aménophis, amenɔfis
Amérique, ameʁik
Anacréon, anakʁeɔ̃
Anastasie, anastazi
Anatole, anatɔl
Anatolie, anatɔli
Anaxagore, anaksaɡɔʁ
Anaximandre, anaksimɑ̃dʁ
Anaximène, anaksimɛn
Anaëlle, anaɛl
Anaïs, anais
Anchorage, ɛnkəʁidʒ
Andalousie, ɑ̃daluzi
Andaman, ɑ̃damɑ̃
Andenne, ɑ̃dɛn
Anderlecht, ɑ̃dɛʁlɛʃt
Andersen, ɑ̃dɛʁsɛn
Andes, ɑ̃d
Andorre, ɑ̃dɔʁ
Andromède, ɑ̃dʁɔmɛd
André, ɑ̃dʁe
Andréa, ɑ̃dʁea
Andrée, ɑ̃dʁe
Andy, ɑ̃di
Angeles, ɑ̃dʒəlɛs
Angelina, ɑ̃ʒelina
Angelo, ɑ̃ʒelo
Angers, ɑ̃ʒe
Angkor, ɑ̃ɡkɔʁ
Anglet, ɑ̃ɡlɛt
Angleterre, ɑ̃ɡlətɛʁ
